positive_images/posImg0.jpg 1 166 94 8 15
positive_images/posImg1.jpg 1 167 96 8 12
positive_images/posImg2.jpg 1 167 96 7 12
positive_images/posImg3.jpg 1 108 76 10 11
positive_images/posImg4.jpg 1 87 30 10 13
positive_images/posImg7.jpg 1 101 58 10 10
positive_images/posImg8.jpg 1 49 66 10 13
positive_images/posImg9.jpg 1 70 35 8 10 
positive_images/posImg13.jpg 1 168 139 10 12 
positive_images/posImg16.jpg 1 198 113 9 13 
positive_images/posImg18.jpg 1 212 173 13 14
positive_images/posImg22.jpg 1 163 196 13 13 
positive_images/posImg23.jpg 1 91 204 14 12 
positive_images/posImg24.jpg 1 41 190 14 16 
positive_images/posImg25.jpg 1 71 119 14 14 
positive_images/posImg26.jpg 1 112 108 9 10 
positive_images/posImg27.jpg 1 133 129 12 13 
positive_images/posImg28.jpg 1 139 120 13 14
positive_images/posImg29.jpg 1 160 122 10 14
positive_images/posImg30.jpg 1 157 120 14 14
positive_images/posImg31.jpg 1 136 132 13 12
positive_images/posImg32.jpg 1 131 135 12 14
positive_images/posImg33.jpg 1 122 144 11 13
positive_images/posImg35.jpg 1 177 210 13 14
positive_images/posImg36.jpg 1 221 188 14 13 
positive_images/posImg37.jpg 1 155 149 12 13
positive_images/posImg38.jpg 1 151 143 12 13
positive_images/posImg39.jpg 1 186 98 13 13
positive_images/posImg40.jpg 1 221 64 11 10
positive_images/posImg41.jpg 1 235 85 16 15
positive_images/posImg42.jpg 1 246 85 18 18 
positive_images/posImg43.jpg 1 167 53 15 16
positive_images/posImg44.jpg 1 151 44 13 16
positive_images/posImg46.jpg 1 226 76 12 13
positive_images/posImg47.jpg 1 192 52 11 14
positive_images/posImg48.jpg 1 156 41 9 13
positive_images/posImg49.jpg 1 152 42 13 15
positive_images/posImg50.jpg 1 103 49 15 15 
positive_images/posImg51.jpg 1 96 49 13 16
positive_images/posImg52.jpg 1 94 52 15 18
positive_images/posImg53.jpg 1 95 54 14 15
positive_images/posImg54.jpg 1 96 54 12 13
positive_images/posImg55.jpg 1 97 54 10 12
positive_images/posImg56.jpg 1 102 106 12 13
